artist_name,start_date,end_date,stage,stage_latitude,stage_longitude,day
Fourtwenty x Jason Ranti x Fiersa Besari,9/27/23 7.30 PM,9/27/23 8.15 PM,Boss Stage,-6.217307514,106.8044678,3
Dongker,9/27/23 7.30 PM,9/27/23 8.15 PM,Riang Gembira,-6.217556546,106.8010231,3
Monica Hapsari,9/27/23 7.40 PM,9/27/23 8.25 PM,Yes No Klub,-6.216075586,106.8018606,3
Flowr Pit,9/27/23 7.45 PM,9/27/23 8.15 PM,Alternative Stage,-6.220093561,106.7994224,3
King Nassar,9/27/23 7.55 PM,9/27/23 8.40 PM,Pestapora IM3,-6.217197051,106.7994883,3
"Host: Adjisdoaibu, Arif Brata, Nopek Nopian",9/27/23 8.15 PM,9/27/23 8.45 PM,StandupIndo,-6.220444814,106.8046108,3
Victor Hutabarat x Trio Ambisi Anda Ricad Hutapea Power Band,9/27/23 8.15 PM,9/27/23 9.15 PM,Hingar Bingar,-6.219256549,106.7995374,3
Straight Answer,9/27/23 8.25 PM,9/27/23 9.10 PM,Klab Klub,-6.217429041,106.8025604,3
Beeswax,9/27/23 8.30 PM,9/27/23 9.00 PM,Alternative Stage,-6.220093561,106.7994224,3
Puppy Riot,9/27/23 8.40 PM,9/27/23 9.40 PM,Yes No Klub,-6.216075586,106.8018606,3
Raisa,9/27/23 8.45 PM,9/27/23 9.30 PM,Gegap Gempita,-6.219200841,106.8004699,3
Ali,9/27/23 8.45 PM,9/27/23 9.30 PM,Riang Gembira,-6.217556546,106.8010231,3
Seringai x Burgerkill,9/27/23 9.00 PM,9/27/23 10.10 PM,Boss Stage,-6.217307514,106.8044678,3
Tipe X,9/27/23 9.10 PM,9/27/23 9.55 PM,Pestapora IM3,-6.217197051,106.7994883,3
Nartok,9/27/23 9.15 PM,9/27/23 9.45 PM,Alternative Stage,-6.220093561,106.7994224,3
"Host: Adjisdoaibu, Awwe, Mamat Alkatiri",9/27/23 9.30 PM,9/27/23 10.00 PM,StandupIndo,-6.220444814,106.8046108,3
